Narration,15-Mar,16-Mar,17-Mar,18-Mar,19-Mar,20-Mar,21-Mar,22-Mar,23-Mar,24-Mar
Equity Share Capital,"2,943.00","2,948.00","2,959.00","5,922.00","5,926.00","6,339.00","6,445.00","6,765.00","6,766.00","6,766.00"
Reserves,"215,556.00","228,608.00","260,750.00","287,584.00","381,186.00","442,827.00","693,727.00","772,720.00","709,106.00","786,715.00"
Borrowings,"168,251.00","194,714.00","217,475.00","239,843.00","307,714.00","355,133.00","278,962.00","319,158.00","451,664.00","346,142.00"
Other Liabilities,"117,736.00","172,727.00","225,618.00","277,924.00","302,804.00","358,716.00","340,931.00","399,979.00","438,346.00","616,363.00"
Net Block,"156,458.00","184,910.00","198,526.00","403,885.00","398,374.00","532,658.00","541,258.00","627,798.00","724,805.00","966,458.00"
Capital Work in Progress,"166,462.00","228,697.00","324,837.00","187,022.00","179,463.00","109,106.00","125,953.00","172,506.00","293,752.00","152,382.00"
Investments,"76,451.00","84,015.00","82,899.00","82,862.00","235,635.00","276,767.00","364,828.00","394,264.00","235,560.00","225,672.00"
Other Assets,"105,115.00","101,375.00","100,540.00","137,504.00","184,158.00","244,484.00","288,026.00","304,054.00","351,765.00","411,474.00"
Working Capital,"-12,621.00","-71,352.00","-125,078.00","-140,420.00","-118,646.00","-114,232.00","-52,905.00","-95,925.00","-86,581.00","-204,889.00"
Debtors,"5,315.00","4,465.00","8,177.00","17,555.00","30,089.00","19,656.00","19,014.00","23,640.00","28,448.00","31,628.00"
Inventory,"53,248.00","46,486.00","48,951.00","60,837.00","67,561.00","73,903.00","81,672.00","107,778.00","140,008.00","152,770.00"
