Narration,15-Mar,16-Mar,17-Mar,18-Mar,19-Mar,20-Mar,21-Mar,22-Mar,23-Mar,24-Mar
Sales,"374,372.00","272,583.00","303,954.00","390,823.00","568,337.00","596,679.00","466,307.00","698,672.00","876,396.00","901,064.00"
Expenses,"336,923.00","230,802.00","257,647.00","326,508.00","484,087.00","507,413.00","385,517.00","588,077.00","734,078.00","738,831.00"
Operating Profit,"37,449.00","41,781.00","46,307.00","64,315.00","84,250.00","89,266.00","80,790.00","110,595.00","142,318.00","162,233.00"
Other Income,"8,528.00","12,212.00","9,222.00","9,869.00","8,406.00","8,570.00","22,432.00","17,928.00","12,020.00","16,444.00"
Depreciation,"11,547.00","11,565.00","11,646.00","16,706.00","20,934.00","22,203.00","26,572.00","29,797.00","40,303.00","50,832.00"
Interest,"3,316.00","3,691.00","3,849.00","8,052.00","16,495.00","22,027.00","21,189.00","14,584.00","19,571.00","23,118.00"
Profit before tax,"31,114.00","38,737.00","40,034.00","49,426.00","55,227.00","53,606.00","55,461.00","84,142.00","94,464.00","104,727.00"
Tax,"7,474.00","8,876.00","10,201.00","13,346.00","15,390.00","13,726.00","1,722.00","16,297.00","20,376.00","25,707.00"
Net profit,"23,566.00","29,745.00","29,901.00","36,075.00","39,588.00","39,354.00","49,128.00","60,705.00","66,702.00","69,621.00"
EPS,34.14,43.03,43.11,53.39,58.55,58.2,77.5,89.74,98.59,102.9
Price to earning,10.99,11.04,13.92,15.02,21.16,17.39,23.71,26.93,21.69,28.88
Price,375.31,474.91,600.18,802.15,"1,238.85","1,012.12","1,837.56","2,417.01","2,138.41","2,971.70"
Dividend Payout,12.49%,10.41%,10.89%,9.85%,9.73%,10.47%,9.18%,8.92%,9.13%,9.72%
OPM,10.00%,15.33%,15.23%,16.46%,14.82%,14.96%,17.33%,15.83%,16.24%,18.00%
